godina;Datum;Volume;JedMj;Lokacija;Energija
2024;2024-01-01;4.66153380;m3;Lokacija-1496;Water
2024;2024-01-01;4.69614915;m3;Lokacija-2817;Water
2024;2024-01-01;4.69614915;m3;Lokacija-1338;Water
2024;2024-01-01;4.73128221;spremnik (1100 l);Lokacija-223;Garbage
2024;2024-01-01;4.77276447;spremnik (1100 l);Lokacija-2940;Garbage
2024;2024-01-01;4.78845675;m3;Lokacija-4857;Water
2024;2024-01-01;4.79999520;m3;Lokacija-2691;Water
2024;2024-01-01;4.80041931;spremnik (1100 l);Lokacija-3033;Garbage
2024;2024-01-01;4.80384135;m3;Lokacija-3875;Water
2024;2024-01-01;4.84614900;m3;Lokacija-4537;Water
2024;2024-01-01;4.86725184;spremnik (1100 l);Lokacija-2347;Garbage
2024;2024-01-01;4.88845665;m3;Lokacija-17;Water
2024;2024-01-01;4.89614895;m3;Lokacija-2143;Water
2024;2024-01-01;4.97095749;spremnik (1100 l);Lokacija-1354;Garbage
2024;2024-01-01;4.98461040;m3;Lokacija-221;Water
2024;2024-01-01;4.98845655;m3;Lokacija-4549;Water
2024;2024-01-01;5.00552604;spremnik (1100 l);Lokacija-1358;Garbage
2024;2024-01-01;5.00552604;spremnik (1100 l);Lokacija-3988;Garbage
2024;2024-01-01;5.00783061;spremnik (1100 l);Lokacija-438;Garbage
2024;2024-01-01;5.00783061;spremnik (1100 l);Lokacija-3334;Garbage
2024;2024-01-01;5.02857174;spremnik (1100 l);Lokacija-4811;Garbage
2024;2024-01-01;5.02857174;spremnik (1100 l);Lokacija-1275;Garbage
2024;2024-01-01;5.03461035;m3;Lokacija-3298;Water
2024;2024-01-01;5.03845650;m3;Lokacija-1508;Water
2024;2024-01-01;5.12305911;spremnik (1100 l);Lokacija-3128;Garbage
2024;2024-01-01;5.12305911;spremnik (1100 l);Lokacija-2799;Garbage
2024;2024-01-01;5.12997282;spremnik (1100 l);Lokacija-3979;Garbage
2024;2024-01-01;5.18528250;spremnik (1100 l);Lokacija-3285;Garbage
2024;2024-01-01;5.18528250;spremnik (1100 l);Lokacija-1325;Garbage
2024;2024-01-01;5.18528250;spremnik (1100 l);Lokacija-843;Garbage
2024;2024-01-01;5.20602363;spremnik (1100 l);Lokacija-1759;Garbage
2024;2024-01-01;5.20602363;spremnik (1100 l);Lokacija-674;Garbage
