vehicle_type,fuel,vehicle_class,euro_standard,CO2,CH4,N2O,CO2eq,CO2-upstream,CH4-upstream,N2O-upstream,CO2eq-upstream,CO2-combustion,CH4-combustion,N2O-combustion,CO2eq-combustion
Osobno vozilo,UNP (LPG),Mala klasa vozila,EURO 6,0.286795,0.000053,0.000002,0.288798,0.001396,0.0000195,0.000000018,0.001986,0.252399,0.000033,0.000002,0.253812
Osobno vozilo,UNP (LPG),Srednja klasa vozila,PRE ECE do ECE 15/04,0.208717,0.000047,0.000009,0.212495,0.000967,0.0000135,0.0000000125,0.001375,0.174750,0.000033,0.000009,0.178120
Osobno vozilo,UNP (LPG),Srednja klasa vozila,EURO 4,0.207533,0.000036,0.000004,0.209695,0.000960,0.0000134,0.0000000124,0.001366,0.173572,0.000023,0.000004,0.175329
Osobno vozilo,UNP (LPG),Srednja klasa vozila,EURO 5,0.206758,0.000036,0.000001,0.208130,0.000956,0.0000133,0.0000000123,0.001360,0.172802,0.000023,0.000001,0.173770
Osobno vozilo,UNP (LPG),Srednja klasa vozila,EURO 6,0.205868,0.000036,0.000001,0.207232,0.000951,0.0000133,0.0000000122,0.001353,0.171917,0.000023,0.000001,0.172880
Osobno vozilo,UNP (LPG),Velika klasa i SUV vozila,PRE ECE do ECE 15/04,0.208194,0.000045,0.000008,0.211709,0.000964,0.0000135,0.0000000124,0.001371,0.174230,0.000032,0.000008,0.177338
Osobno vozilo,UNP (LPG),Velika klasa i SUV vozila,EURO 4,0.206954,0.000036,0.000004,0.209108,0.000957,0.0000134,0.0000000123,0.001361,0.172997,0.000023,0.000004,0.174747
Osobno vozilo,UNP (LPG),Velika klasa i SUV vozila,EURO 5,0.206161,0.000036,0.000001,0.207528,0.000953,0.0000133,0.0000000123,0.001355,0.172208,0.000023,0.000001,0.173173
Osobno vozilo,UNP (LPG),Velika klasa i SUV vozila,EURO 6,0.202044,0.000035,0.000001,0.203377,0.000930,0.0000130,0.0000000120,0.001323,0.168114,0.000022,0.000001,0.169054
Osobno vozilo,SPP (CNG),Mala klasa vozila,EURO 4,0.201208,0.000075,0.000002,0.203997,0.001142,0.0000136,0.00000000205,0.001551,0.167065,0.000062,0.000002,0.169446
